Date,000001.SS,^BVSP,^FTSE,^GSPC,^GSPTSE,^HSI,^IBEX,^N225,^STOXX50E
2024-05-13,3148.02099609375,128155.0,8415.0,5221.419921875,22259.19921875,19115.060546875,11152.0,38179.4609375,5078.9599609375
2024-05-14,3145.77392578125,128515.0,8428.099609375,5246.68017578125,22243.30078125,19073.7109375,11239.2998046875,38356.05859375,5080.2900390625
2024-05-16,3122.40087890625,128284.0,8438.7001953125,5297.10009765625,22299.80078125,19376.529296875,11299.2998046875,38920.26171875,5072.4501953125
2024-05-17,3154.02587890625,128151.0,8420.2998046875,5303.27001953125,22465.400390625,19553.609375,11327.7001953125,38787.37890625,5064.14013671875
2024-05-21,3157.966064453125,127412.0,8416.5,5321.41015625,22468.19921875,19220.619140625,11334.900390625,38946.9296875,5046.990234375
2024-05-22,3158.5400390625,125650.0,8370.2998046875,5307.009765625,22346.80078125,19195.599609375,11329.0,38617.1015625,5025.169921875
2024-05-23,3116.386962890625,124729.0,8339.2001953125,5267.83984375,22200.80078125,18868.7109375,11311.099609375,39103.21875,5037.60009765625
2024-05-24,3088.87109375,124306.0,8317.599609375,5304.72021484375,22320.900390625,18608.939453125,11246.0,38646.109375,5035.41015625
2024-05-28,3109.572021484375,123780.0,8254.2001953125,5306.0400390625,22265.099609375,18821.16015625,11276.0,38855.37109375,5030.35009765625
2024-05-29,3111.01806640625,122707.0,8183.10009765625,5266.9501953125,21898.0,18477.009765625,11145.099609375,38556.87109375,4963.2001953125
2024-05-31,3086.81298828125,122098.0,8275.400390625,5277.509765625,22269.099609375,18079.609375,11322.0,38487.8984375,4983.669921875
2024-06-03,3078.489013671875,122032.0,8262.7998046875,5283.39990234375,22116.69921875,18403.0390625,11397.2001953125,38923.03125,5003.5400390625
2024-06-04,3091.198974609375,121802.0,8232.0,5291.33984375,21978.19921875,18444.109375,11286.400390625,38837.4609375,4953.3701171875
2024-06-05,3065.403076171875,121407.0,8247.0,5354.02978515625,22145.0,18424.9609375,11353.099609375,38490.171875,5035.66015625
2024-06-06,3048.7939453125,122899.0,8285.2998046875,5352.9599609375,22229.099609375,18476.80078125,11444.0,38703.51171875,5069.08984375
2024-06-07,3051.279052734375,120767.0,8245.400390625,5346.990234375,22007.0,18366.94921875,11404.900390625,38683.9296875,5051.31005859375
2024-06-11,3028.044921875,121635.0,8147.7998046875,5375.31982421875,21887.30078125,18176.33984375,11175.5,39134.7890625,4965.08984375
2024-06-12,3037.468017578125,119936.0,8215.5,5421.02978515625,21961.599609375,17937.83984375,11245.400390625,38876.7109375,5034.43017578125
2024-06-13,3028.9189453125,119568.0,8163.7001953125,5433.740234375,21698.099609375,18112.630859375,11066.099609375,38720.46875,4935.5
2024-06-14,3032.633056640625,119662.0,8146.89990234375,5431.60009765625,21639.099609375,17941.779296875,10992.2998046875,38814.55859375,4839.14013671875
2024-06-17,3015.89111328125,119138.0,8142.2001953125,5473.22998046875,21587.900390625,17936.119140625,10959.5,38102.44140625,4880.419921875
2024-06-18,3030.24609375,119630.0,8191.2998046875,5487.02978515625,21611.30078125,17915.55078125,11067.7001953125,38482.109375,4915.47021484375
2024-06-20,3005.43701171875,120446.0,8272.5,5473.169921875,21581.400390625,18335.3203125,11160.5,38633.01953125,4947.72998046875
2024-06-21,2998.137939453125,121341.0,8237.7001953125,5464.6201171875,21554.900390625,18028.51953125,11032.2998046875,38596.46875,4907.2998046875
2024-06-24,2963.09912109375,122637.0,8281.599609375,5447.8701171875,21848.599609375,18027.7109375,11172.099609375,38804.6484375,4950.97998046875
2024-06-25,2949.99609375,122331.0,8247.7998046875,5469.2998046875,21788.5,18072.900390625,11118.900390625,39173.1484375,4935.97021484375
2024-06-26,2972.52490234375,122641.0,8225.2998046875,5477.89990234375,21793.900390625,18089.9296875,11030.5,39667.0703125,4915.93994140625
2024-06-27,2945.85205078125,124308.0,8179.7001953125,5482.8701171875,21942.19921875,17716.470703125,10951.5,39341.5390625,4902.60009765625
2024-06-28,2967.403076171875,123907.0,8164.10009765625,5460.47998046875,21875.80078125,17718.609375,10943.7001953125,39583.078125,4894.02001953125
2024-07-02,2997.010986328125,124787.0,8121.2001953125,5509.009765625,21953.80078125,17769.140625,10912.7998046875,40074.69140625,4906.330078125
2024-07-03,2982.3759765625,125662.0,8171.10009765625,5537.02001953125,22223.69921875,17978.5703125,11056.7998046875,40580.76171875,4965.7998046875
2024-07-05,2949.93310546875,126267.0,8203.900390625,5567.18994140625,22059.0,17799.609375,11023.5,40912.37109375,4979.39013671875
2024-07-08,2922.449951171875,126548.0,8193.5,5572.85009765625,22126.099609375,17524.060546875,11022.099609375,40780.69921875,4969.830078125
2024-07-09,2959.3720703125,127108.0,8139.7998046875,5576.97998046875,22042.5,17523.23046875,10898.7998046875,41580.171875,4903.6201171875
2024-07-10,2939.364013671875,127218.0,8193.5,5633.91015625,22350.19921875,17471.669921875,11071.599609375,41831.98828125,4958.85986328125
2024-07-11,2970.386962890625,128294.0,8223.2998046875,5584.5400390625,22544.099609375,17832.330078125,11170.0,42224.01953125,4976.1298828125
2024-07-12,2971.294921875,128897.0,8252.900390625,5615.35009765625,22673.5,18293.380859375,11250.599609375,41190.6796875,5043.02001953125
2024-07-16,2976.303955078125,129110.0,8164.89990234375,5667.2001953125,22995.400390625,17727.98046875,11090.5,41275.078125,4947.830078125
2024-07-17,2962.85498046875,129450.0,8187.5,5588.27001953125,22851.19921875,17739.41015625,11105.2001953125,41097.69140625,4891.4599609375
2024-07-18,2977.133056640625,127652.0,8204.900390625,5544.58984375,22726.80078125,17778.41015625,11147.5,40126.3515625,4870.1201171875
2024-07-19,2982.30908203125,127616.0,8155.7001953125,5505.0,22690.400390625,17417.6796875,11087.5,40063.7890625,4827.240234375
2024-07-22,2964.216064453125,127860.0,8198.7998046875,5564.41015625,22872.69921875,17635.880859375,11143.7998046875,39599.0,4897.43994140625
2024-07-23,2915.368896484375,126590.0,8167.39990234375,5555.740234375,22813.80078125,17469.359375,11212.7001953125,39594.390625,4916.7998046875
2024-07-24,2901.951904296875,126423.0,8153.7001953125,5427.1298828125,22639.599609375,17311.05078125,11210.099609375,39154.8515625,4861.8701171875
2024-07-25,2886.741943359375,125954.0,8186.39990234375,5399.22021484375,22608.0,17021.91015625,11145.599609375,37869.51171875,4811.27978515625
2024-07-26,2890.89697265625,127492.0,8285.7001953125,5459.10009765625,22814.80078125,17021.310546875,11165.900390625,37667.41015625,4862.5
2024-07-29,2891.844970703125,126954.0,8292.400390625,5463.5400390625,22779.599609375,17238.33984375,11117.7998046875,38468.62890625,4815.39013671875
2024-07-30,2879.300048828125,126139.0,8274.400390625,5436.43994140625,22824.69921875,17002.91015625,11202.599609375,38525.94921875,4841.0
2024-07-31,2938.7490234375,127652.0,8368.0,5522.2998046875,23110.80078125,17344.599609375,11065.0,39101.8203125,4872.93994140625
2024-08-02,2905.337890625,125854.0,8174.7001953125,5346.56005859375,22227.599609375,16945.509765625,10672.900390625,35909.69921875,4638.7001953125
2024-08-06,2867.283935546875,126267.0,8026.7001953125,5240.02978515625,21979.400390625,16647.33984375,10390.5,34675.4609375,4575.22021484375
2024-08-07,2869.833984375,127514.0,8166.89990234375,5199.5,21881.0,16877.859375,10599.0,35089.62109375,4668.06005859375
2024-08-08,2869.90087890625,128661.0,8145.0,5319.31005859375,22225.599609375,16891.830078125,10558.0,34831.1484375,4668.740234375
2024-08-09,2862.194091796875,130615.0,8168.10009765625,5344.16015625,22311.30078125,17090.23046875,10638.5,35025.0,4675.27978515625
2024-08-13,2867.946044921875,132398.0,8235.2001953125,5434.43017578125,22618.19921875,17174.060546875,10723.7998046875,36232.51171875,4694.919921875
2024-08-14,2850.654052734375,133318.0,8281.099609375,5455.2099609375,22760.0,17113.359375,10753.0,36442.4296875,4727.60009765625
2024-08-15,2877.35791015625,134153.0,8347.400390625,5543.22021484375,23032.69921875,17109.140625,10885.599609375,36726.640625,4807.77001953125
2024-08-16,2879.429931640625,133953.0,8311.400390625,5554.25,23054.599609375,17430.16015625,10949.7001953125,38062.671875,4840.52001953125
2024-08-19,2893.674072265625,135778.0,8356.900390625,5608.25,23116.400390625,17569.5703125,11102.5,37388.62109375,4871.41015625
2024-08-20,2866.660888671875,136087.0,8273.2998046875,5597.1201171875,23037.400390625,17511.080078125,11087.7998046875,38062.921875,4857.580078125
2024-08-21,2856.583984375,136464.0,8283.400390625,5620.85009765625,23121.69921875,17391.009765625,11114.900390625,37951.80078125,4885.27978515625
2024-08-22,2848.77197265625,135173.0,8288.0,5570.64013671875,23037.5,17641.0,11156.2998046875,38211.01171875,4885.0
2024-08-23,2854.367919921875,135608.0,8327.7998046875,5634.60986328125,23286.099609375,17612.099609375,11278.099609375,38364.26953125,4909.2001953125
2024-08-27,2848.73095703125,136776.0,8345.5,5625.7998046875,23260.0,17874.669921875,11326.900390625,38288.62109375,4898.77978515625
2024-08-28,2837.428955078125,137344.0,8343.900390625,5592.18017578125,23127.0,17692.44921875,11332.0,38371.76171875,4913.02978515625
2024-08-29,2823.10595703125,136041.0,8379.599609375,5591.9599609375,23227.5,17786.3203125,11358.599609375,38362.53125,4966.27001953125
2024-08-30,2842.214111328125,136004.0,8376.599609375,5648.39990234375,23346.19921875,17989.0703125,11401.900390625,38647.75,4957.97998046875
2024-09-03,2802.97900390625,134353.0,8298.5,5528.93017578125,23042.5,17651.490234375,11279.2001953125,38686.30859375,4912.52001953125
2024-09-04,2784.278076171875,136111.0,8269.599609375,5520.06982421875,23040.80078125,17457.33984375,11213.900390625,37047.609375,4848.18017578125
2024-09-05,2788.31396484375,136502.0,8241.7001953125,5503.41015625,22988.30078125,17444.30078125,11273.5,36657.08984375,4815.14990234375
2024-09-09,2736.488037109375,134737.0,8270.7998046875,5471.0498046875,23027.19921875,17196.9609375,11272.7998046875,36215.75,4778.66015625
2024-09-10,2744.19189453125,134320.0,8206.0,5495.52001953125,23003.099609375,17234.08984375,11203.5,36159.16015625,4747.2001953125
2024-09-11,2721.794921875,134677.0,8193.900390625,5554.1298828125,23211.19921875,17108.7109375,11278.900390625,35619.76953125,4763.580078125
2024-09-12,2717.123046875,134029.0,8241.0,5595.759765625,23475.099609375,17240.390625,11400.2001953125,36833.26953125,4814.080078125
2024-09-13,2704.090087890625,134882.0,8273.099609375,5626.02001953125,23568.69921875,17369.08984375,11540.2001953125,36581.76171875,4843.990234375
2024-09-19,2736.02197265625,133123.0,8328.7001953125,5713.64013671875,23866.30078125,18013.16015625,11778.099609375,37155.328125,4943.3798828125
2024-09-20,2736.81396484375,131065.0,8230.0,5702.5498046875,23867.400390625,18258.5703125,11753.2998046875,37723.91015625,4871.5400390625
2024-09-24,2863.1259765625,132156.0,8282.7998046875,5732.93017578125,23952.19921875,19000.560546875,11837.0,37940.58984375,4940.72021484375
2024-09-25,2896.305908203125,131586.0,8268.7001953125,5722.259765625,23905.900390625,19129.099609375,11792.599609375,37870.26171875,4916.89013671875
2024-09-26,3000.952880859375,133010.0,8284.900390625,5745.3701171875,24033.80078125,19924.580078125,11953.2001953125,38925.62890625,5032.58984375
2024-09-27,3087.529052734375,132730.0,8320.7998046875,5738.169921875,23956.80078125,20632.30078125,11967.900390625,39829.55859375,5067.4501953125
2024-09-30,3336.4970703125,131816.0,8237.0,5762.47998046875,24000.400390625,21133.6796875,11877.2998046875,37919.55078125,5000.4501953125
